IdExpediente,Hora,Causa_de_Accidente,Tipo_VehImplicado,Sexo,TipoPersona,Edad,SeriedadAcc,CoordenadaUTM_Y,CoordenadaUTM_X
2015S005991,4,No es causa del peatón,Motocicleta,Home,Conductor,36,Herida leve,-1,-1
2015S004912,7,No es causa del peatón,Turismo,Home,Conductor,54,Herida leve,-1,-1
2015S009751,2,No es causa del peatón,Motocicleta,Home,Conductor,49,Herida leve,4585145.10,431990.72
2015S002580,5,Cruzar fuera de paso peatonal,Motocicleta,Home,Vianant,13,Herida leve,4585448.00,431799.95
2015S008919,2,No es causa del peatón,Motocicleta,Home,Conductor,49,Herida leve,4585215.20,431576.37
2015S002024,12,Desobedecer Semáforo,Ciclomotor,Dona,Vianant,68,Herida leve,4585174.30,431648.74
2015S000787,4,No es causa del peatón,Motocicleta,Home,Passatger,33,Herida leve,4585194.82,431644.10
2015S001125,5,No es causa del peatón,Turismo,Dona,Conductor,37,Herida leve,4585270.45,431626.67
2015S007294,2,Otras,Motocicleta,Home,Conductor,49,Herida leve,4585204.89,431517.12
2015S002616,10,No es causa del peatón,Motocicleta,Home,Conductor,23,Herida leve,4585407.65,431582.74
2015S008758,7,No es causa del peatón,Motocicleta,Home,Conductor,31,Herida leve,4585416.36,431629.04
2015S001866,8,No es causa del peatón,Motocicleta,Home,Conductor,31,Herida leve,4585458.06,431634.78
2015S001693,7,No es causa del peatón,Ciclomotor,Dona,Conductor,26,Herida leve,4585103.11,431274.19
2015S007146,12,No es causa del peatón,Motocicleta,Home,Conductor,19,Herida leve,4585099.12,431447.19
2015S001671,10,No es causa del peatón,Autobús,Home,Passatger,80,Herida leve,4584908.45,431479.52
2015S000114,10,No es causa del peatón,Motocicleta,Home,Conductor,32,Herida leve,4584859.12,431564.42
2015S007011,9,No es causa del peatón,Ciclomotor,Dona,Conductor,41,Herida leve,4584735.10,431823.00
2015S004924,11,No es causa del peatón,Motocicleta,Dona,Conductor,22,Herida leve,4584713.56,431832.66
2015S000654,11,No es causa del peatón,Bicicleta,Home,Conductor,18,Herida leve,4584826.12,431819.65
2015S009116,8,No es causa del peatón,Motocicleta,Home,Conductor,58,Herida leve,4584545.45,431816.61
2015S002056,12,No es causa del peatón,Taxi,Dona,Passatger,62,Herida leve,4584790.88,432069.78
