IdExpediente,Turno,Hora,Causa_de_Accidente,Tipo_VehImplicado,Sexo,Edad,TipoPersona,Situacion,SeriedadAcc,CoordenadaUTM_X,CoordenadaUTM_Y,Longitud,Latitud
2016S000001,Noche,0,No es causa del peatón,Taxi,Home,41,Conductor,Presentado,Herida leve,430142.09,4583396.02,2.163202,41.397223
2016S000002,Noche,2,No es causa del peatón,Motocicleta,Home,19,Passatger,Desconegut,Herida leve,432161.38,4581525.86,2.187562,41.380545
2016S000003,Noche,5,No es causa del peatón,Motocicleta,Home,24,Conductor,Presentado,Herida leve,432262.3,4589063.89,2.187925,41.448446
2016S000004,Matutino,6,No es causa del peatón,Turismo,Dona,29,Vianant,Desconegut,Herida leve,429716.06,4582879.74,2.158167,41.39253
2016S000004,Matutino,6,No es causa del peatón,Turismo,Dona,36,Conductor,Presentado,Herida leve,429716.06,4582879.74,2.158167,41.39253
2016S000004,Matutino,6,No es causa del peatón,Turismo,Home,45,Passatger,Desconegut,Herida leve,429716.06,4582879.74,2.158167,41.39253
2016S000005,Matutino,8,No es causa del peatón,Turismo,Home,19,Conductor,Presentado,Herida leve,431550.62,4591099.16,2.179171,41.466723
2016S000006,Matutino,9,No es causa del peatón,Taxi,Dona,68,Vianant,Desconegut,Herida leve,431171.71,4585439.89,2.175278,41.415713
2016S000009,Tarde,16,No es causa del peatón,Motocicleta,Home,22,Conductor,Presentado,Herida leve,428822.07,4584640.13,2.147267,41.408312
2016S000010,Tarde,14,Cruzar fuera de paso peatonal,Turismo,Home,29,Vianant,Desconegut,Herida leve,430485.19,4588271.15,2.166744,41.44116
2016S000011,Tarde,16,No es causa del peatón,Motocicleta,Home,37,Conductor,Presentado,Herida leve,432960.87,4585666.58,2.196658,41.417909
2016S000013,Tarde,21,No es causa del peatón,Turismo,Dona,27,Passatger,Desconegut,Herida leve,432919.64,4587607.16,2.195951,41.435387
2016S000013,Tarde,21,No es causa del peatón,Turismo,Dona,29,Passatger,Desconegut,Herida leve,432919.64,4587607.16,2.195951,41.435387
2016S000013,Tarde,21,No es causa del peatón,Turismo,Home,1,Passatger,Desconegut,Herida leve,432919.64,4587607.16,2.195951,41.435387
2016S000013,Tarde,21,No es causa del peatón,Turismo,Home,27,Conductor,Presentado,Herida leve,432919.64,4587607.16,2.195951,41.435387
