IdExpediente,Turno,Hora,Causa_de_Accidente,Tipo_VehImplicado,Sexo,TipoPersona,Edad,SeriedadAcc,CoordenadaUTM_Y,CoordenadaUTM_X
2013S000529,Noche,0,No es causa del peatón,Turismo,Home,Conductor,32,Herida leve,4583707.15,429170.30
2013S000535,Matutino,7,No es causa del peatón,Ciclomotor,Home,Conductor,39,Herida leve,4585527.16,431983.63
2013S000072,Tarde,17,No es causa del peatón,Tractocamión,Dona,Vianant,80,Herida leve,4584645.89,431991.79
2013S000074,Tarde,18,No es causa del peatón,Turismo,Dona,Conductor,23,Herida leve,4583597.13,430849.53
2013S000075,Tarde,16,No es causa del peatón,Turismo,Dona,Conductor,36,Herida leve,4584737.08,430722.16
2013S000077,Tarde,18,No es causa del peatón,Motocicleta,Home,Conductor,27,Herida leve,4585521.49,431659.51
2013S000085,Matutino,13,No es causa del peatón,Turismo,Home,Conductor,34,Herida leve,4582352.14,427027.10
2013S000101,Tarde,18,No es causa del peatón,Motocicleta,Home,Conductor,35,Herida leve,4580661.78,427792.15
2013S000110,Matutino,9,No es causa del peatón,Furgoneta,Home,Conductor,38,Herida leve,4576250.31,425905.38
2013S000121,Matutino,12,No es causa del peatón,Turismo,Home,Conductor,29,Herida leve,4585877.10,434007.45
2013S000124,Tarde,14,No es causa del peatón,Motocicleta,Home,Conductor,37,Herida leve,4582695.99,429896.73
2013S000140,Noche,22,No es causa del peatón,Ciclomotor,Dona,Conductor,26,Herida leve,4580937.40,428856.34
2013S000143,Noche,1,No es causa del peatón,Motocicleta,Home,Conductor,35,Herida leve,4582611.70,430024.47
2013S000144,Noche,4,No es causa del peatón,Turismo,Dona,Passatger,29,Herida leve,4584533.84,431262.77
2013S000171,Matutino,7,No es causa del peatón,Ciclomotor,Dona,Conductor,28,Herida leve,4580974.56,428091.10
2013S000237,Matutino,8,No es causa del peatón,Turismo,Home,Passatger,23,Herida leve,4583369.69,430616.18
2013S000242,Matutino,12,No es causa del peatón,Motocicleta,Home,Conductor,35,Herida grave,4583560.35,430660.61
2013S000246,Tarde,15,No es causa del peatón,Motocicleta,Home,Conductor,42,Herida leve,4582763.20,433331.93
2013S000272,Tarde,17,No es causa del peatón,Motocicleta,Dona,Passatger,28,Herida leve,4583528.91,431193.57
2013S000287,Tarde,20,No es causa del peatón,Motocicleta,Home,Conductor,22,Herida leve,4582400.97,429101.84
2013S000312,Matutino,8,No es causa del peatón,Motocicleta,Home,Conductor,23,Herida leve,4587771.55,431999.34
2013S000313,Matutino,8,No es causa del peatón,Turismo,Home,Conductor,36,Herida leve,4583874.70,426078.34
2013S000317,Matutino,12,Cruzar fuera de paso peatonal,Bicicleta,Dona,Vianant,51,Herida leve,4588197.25,433287.03
2013S000326,Tarde,14,No es causa del peatón,Turismo,Dona,Passatger,61,Herida leve,4585888.55,428210.43
2013S000334,Tarde,21,No es causa del peatón,Motocicleta,Home,Conductor,56,Herida leve,4583864.70,432153.74
2013S000337,Matutino,7,No es causa del peatón,Turismo,Dona,Passatger,31,Herida leve,4584850.56,432108.37
2013S000339,Matutino,9,No es causa del peatón,Motocicleta,Dona,Passatger,15,Herida leve,4584158.86,427439.06
2013S000353,Tarde,15,No es causa del peatón,Turismo,Home,Passatger,39,Herida grave,4581444.52,429225.28
2013S000354,Tarde,15,No es causa del peatón,Ciclomotor,Home,Conductor,40,Herida leve,4582596.24,429859.11
2013S000367,Noche,5,No es causa del peatón,Turismo,Dona,Conductor,25,Herida leve,4590878.10,431653.89
2013S000371,Matutino,9,No es causa del peatón,Motocicleta,Dona,Conductor,39,Herida leve,4580520.10,428545.83
2013S000376,Matutino,12,No es causa del peatón,Ciclomotor,Dona,Conductor,25,Herida leve,4583607.79,431099.30
2013S000409,Tarde,16,No es causa del peatón,Turismo,Home,Conductor,48,Herida leve,4581486.43,428864.95
2013S000410,Tarde,16,No es causa del peatón,Ciclomotor,Home,Conductor,22,Herida leve,4582810.58,429067.07
2013S000419,Tarde,19,No es causa del peatón,Motocicleta,Home,Conductor,39,Herida leve,4585182.21,428607.04
2013S000454,Tarde,14,No es causa del peatón,Motocicleta,Home,Conductor,36,Herida leve,4583689.07,432359.16
2013S000478,Tarde,14,No es causa del peatón,Turismo,Home,Passatger,36,Herida leve,4582332.62,426932.45
2013S000506,Matutino,12,No es causa del peatón,Turismo,Home,Conductor,39,Herida leve,4588874.37,432483.81
2013S000045,Tarde,18,Cruzar fuera de paso peatonal,Motocicleta,Home,Vianant,87,Herida grave,4583185.30,430268.14
2013S000047,Tarde,20,No es causa del peatón,Ciclomotor,Home,Conductor,26,Herida leve,4583799.89,431413.87
2013S000059,Matutino,9,No es causa del peatón,Motocicleta,Home,Conductor,52,Herida leve,4587983.54,431187.15
2013S000063,Matutino,13,No es causa del peatón,Motocicleta,Home,Conductor,31,Herida leve,4583202.28,430708.88
2013S000067,Tarde,15,No es causa del peatón,Turismo,Dona,Conductor,32,Herida leve,4588853.10,431921.33
2013S002579,Tarde,18,No es causa del peatón,Furgoneta,Home,Conductor,35,Herida leve,4584120.29,434515.94
2013S002587,Matutino,6,No es causa del peatón,Turismo,Home,Conductor,52,Herida leve,4583607.79,431099.30
2013S002587,Matutino,6,No es causa del peatón,Turismo,Home,Passatger,29,Herida leve,4583607.79,431099.30
2013S001087,Tarde,15,Cruzar fuera de paso peatonal,Motocicleta,Home,Conductor,36,Herida leve,4582349.25,430546.45
2013S001629,Tarde,18,No es causa del peatón,Furgoneta,Home,Conductor,18,Herida leve,4589478.56,432298.31
2013S001632,Noche,22,No es causa del peatón,Ciclomotor,Home,Conductor,19,Herida leve,4583607.79,431099.30
2013S001637,Matutino,13,No es causa del peatón,Furgoneta,Home,Conductor,23,Herida leve,4582963.81,433557.81
2013S000591,Tarde,19,No es causa del peatón,Turismo,Home,Vianant,25,Herida leve,4580326.06,428347.56
2013S000594,Tarde,17,No es causa del peatón,Ciclomotor,Dona,Passatger,19,Herida leve,4582275.11,430347.90
2013S000602,Noche,0,No es causa del peatón,Turismo,Dona,Passatger,22,Herida leve,4581390.05,429146.21
2013S001119,Matutino,12,No es causa del peatón,"Camión <= 3,5 Tm",Dona,Passatger,24,Herida leve,4588851.80,431738.70
2013S001119,Matutino,12,No es causa del peatón,Turismo,Home,Conductor,63,Herida leve,4588851.80,431738.70
2013S001132,Noche,22,No es causa del peatón,Motocicleta,Home,Conductor,52,Herida leve,4584861.28,433173.63
2013S001132,Noche,22,No es causa del peatón,Motocicleta,Home,Passatger,15,Herida leve,4584861.28,433173.63
2013S001143,Matutino,13,Cruzar fuera de paso peatonal,Furgoneta,Home,Vianant,68,Herida leve,4581118.83,431380.16
2013S001649,Matutino,11,Cruzar fuera de paso peatonal,Furgoneta,Dona,Vianant,82,Herida leve,4583649.26,431743.09
2013S001661,Tarde,20,No es causa del peatón,Ciclomotor,Home,Conductor,36,Herida leve,4582414.06,429236.26
2013S001673,Tarde,15,No es causa del peatón,Turismo,Dona,Conductor,43,Herida leve,4580859.33,427489.10
2013S002128,Tarde,20,No es causa del peatón,Turismo,Home,Conductor,27,Herida leve,4577174.30,428575.76
2013S002150,Tarde,15,No es causa del peatón,Turismo,Home,Conductor,36,Herida leve,4588906.94,432617.25
2013S002156,Tarde,17,No es causa del peatón,Motocicleta,Home,Conductor,36,Herida leve,4582903.79,430980.62
2013S002158,Matutino,13,No es causa del peatón,Motocicleta,Home,Conductor,39,Herida leve,4582486.79,433042.41
2013S000620,Tarde,14,No es causa del peatón,Motocicleta,Home,Conductor,55,Herida leve,4585893.00,428198.70
2013S000621,Tarde,16,No es causa del peatón,Motocicleta,Home,Conductor,31,Herida leve,4580626.11,429486.58
2013S000636,Noche,5,No es causa del peatón,Taxi,Home,Conductor,45,Herida leve,4581550.86,431765.17
2013S000640,Tarde,14,No es causa del peatón,Turismo,Home,Vianant,69,Herida leve,4582741.62,428764.42
2013S000644,Tarde,17,No es causa del peatón,Ciclomotor,Home,Conductor,53,Herida leve,4586744.62,430328.35
2013S001149,Tarde,16,No es causa del peatón,Turismo,Home,Conductor,57,Herida leve,4583621.87,430848.87
2013S001159,Tarde,19,No es causa del peatón,Motocicleta,Home,Conductor,68,Herida leve,4583407.76,431629.62
2013S001167,Noche,2,No es causa del peatón,Turismo,Home,Passatger,18,Herida leve,4588765.12,431434.24
2013S001676,Tarde,18,No es causa del peatón,Furgoneta,Home,Passatger,33,Herida leve,4583905.83,431143.23
2013S001695,Matutino,11,No es causa del peatón,Autobús,Home,Passatger,75,Herida leve,4583585.42,430146.19
2013S001699,Tarde,16,No es causa del peatón,Turismo,Dona,Conductor,50,Herida leve,4587698.46,430163.11
2013S002165,Tarde,19,No es causa del peatón,Turismo,Home,Conductor,30,Herida leve,4583871.82,431387.39
2013S002169,Tarde,19,No es causa del peatón,Ciclomotor,Dona,Vianant,71,Herida leve,4582481.70,429934.86
2013S002174,Noche,22,No es causa del peatón,Motocicleta,Dona,Passatger,31,Herida leve,4584050.28,428579.23
2013S002179,Matutino,7,No es causa del peatón,Turismo,Dona,Passatger,75,Herida leve,4587522.29,431931.57
2013S002184,Tarde,17,No es causa del peatón,Turismo,Home,Conductor,37,Herida leve,4585235.88,433954.17
2013S002185,Tarde,17,No es causa del peatón,Taxi,Dona,Vianant,30,Herida grave,4582745.98,430155.81
2013S000673,Matutino,9,No es causa del peatón,Turismo,Home,Vianant,66,Herida leve,4581512.61,430457.82
2013S000680,Tarde,15,No es causa del peatón,Taxi,Home,Conductor,52,Herida leve,4583118.17,433078.07
2013S000686,Tarde,20,No es causa del peatón,Motocicleta,Home,Conductor,27,Herida leve,4583631.01,433272.98
2013S001187,Tarde,17,No es causa del peatón,Motocicleta,Home,Conductor,52,Herida leve,4584109.55,431564.25
2013S001191,Tarde,17,No es causa del peatón,Motocicleta,Home,Conductor,19,Herida leve,4581371.30,427198.11
2013S001194,Tarde,20,No es causa del peatón,Bicicleta,Dona,Conductor,28,Herida leve,4582963.71,430942.18
2013S002192,Matutino,6,No es causa del peatón,Turismo,Home,Passatger,21,Herida leve,4582931.95,429957.08
2013S002210,Matutino,8,No es causa del peatón,Ciclomotor,Dona,Conductor,39,Herida leve,4582222.08,426591.17
2013S000703,Tarde,14,No es causa del peatón,Turismo,Home,Conductor,70,Herida leve,4584991.14,431314.70
2013S000711,Tarde,18,No es causa del peatón,Turismo,Dona,Passatger,21,Herida leve,4588685.57,433242.08
2013S000711,Tarde,18,No es causa del peatón,Turismo,Dona,Passatger,40,Herida leve,4588685.57,433242.08
2013S000715,Tarde,20,No es causa del peatón,Motocicleta,Dona,Passatger,23,Herida leve,4583519.34,430532.79
2013S001216,Tarde,16,No es causa del peatón,Turismo,Dona,Conductor,38,Herida leve,4586011.85,426554.86
2013S001236,Matutino,8,No es causa del peatón,Motocicleta,Home,Conductor,31,Herida leve,4588512.71,432185.43
2013S001239,Matutino,13,No es causa del peatón,Motocicleta,Home,Conductor,36,Herida leve,4584441.01,432553.24
2013S002230,Tarde,15,No es causa del peatón,Motocicleta,Home,Conductor,26,Herida grave,4581760.61,427870.73
2013S002232,Tarde,17,Desobedecer Semáforo,Motocicleta,Home,Conductor,24,Herida leve,4580576.63,428603.46
