IdExpediente,Turno,Hora,Causa_de_Accidente,Tipo_VehImplicado,Sexo,Edad,TipoPersona,Situacion,SeriedadAcc,CoordenadaUTM_X,CoordenadaUTM_Y,Longitud,Latitud
2018S000001,Noche,3,No es causa del peatón,Turisme,Home,41,Conductor,Presentat,"Leve, asistencia en el lugar",429910.63,4580909.28,2.160723,41.374806
2018S000001,Noche,3,No es causa del peatón,Turisme,Home,54,Conductor,Presentat,"Leve, asistencia en el lugar",429910.63,4580909.28,2.160723,41.374806
2018S000002,Noche,0,No es causa del peatón,Ciclomotor,Home,45,Conductor,Presentat,"Leve, hospitalización hasta 24h",428882.97,4582216.76,2.1482810000000003,41.386492
2018S000003,Noche,2,No es causa del peatón,Motocicleta,Home,70,Conductor,Presentat,"Leve, hospitalización hasta 24h",431447.19,4585099.12,2.1786209999999997,41.412675
2018S000005,Matutino,9,No es causa del peatón,Turisme,Dona,33,Conductor,Presentat,"Leve, hospitalización hasta 24h",431568.59,4590758.85,2.179432,41.463661
2018S000006,Tarde,17,No es causa del peatón,Turisme,Dona,39,Passatger,Desconegut,"Leve, hospitalización hasta 24h",428005.61,4582682.86,2.1377330000000003,41.390612
2018S000007,Tarde,18,No es causa del peatón,Furgoneta,Dona,7,Passatger,Desconegut,"Leve, hospitalización hasta 24h",433497.23,4585706.44,2.203081,41.418318
2018S000007,Tarde,18,No es causa del peatón,Furgoneta,Home,41,Conductor,Presentat,"Leve, hospitalización hasta 24h",433497.23,4585706.44,2.203081,41.418318
2018S000008,Tarde,18,No es causa del peatón,Motocicleta,Home,26,Conductor,Presentat,"Leve, hospitalización hasta 24h",427276.95,4581015.43,2.129219,41.375528
2018S000009,Tarde,18,No es causa del peatón,Motocicleta,Home,30,Passatger,Desconegut,"Leve, asistencia en el lugar",429841.22,4581617.31,2.159811,41.381177
2018S000010,Tarde,19,No es causa del peatón,Motocicleta,Home,59,Conductor,Presentat,"Leve, asistencia en el lugar",431026.98,4587540.78,2.173315,41.43463
2018S000011,Tarde,19,No es causa del peatón,Turisme,Home,6,Vianant,Desconegut,"Leve, asistencia en el lugar",429774.77,4583089.18,2.158845,41.394428000000005
2018S000012,Tarde,19,No es causa del peatón,Bicicleta,Home,71,Vianant,Desconegut,"Leve, asistencia en el lugar",431292.99,4581751.75,2.177156,41.382513
2018S000013,Noche,22,No es causa del peatón,Ciclomotor,Dona,20,Conductor,Presentat,"Leve, hospitalización hasta 24h",431185.92,4583053.84,2.175728,41.394232
2018S000014,Tarde,20,No es causa del peatón,Ciclomotor,Home,20,Conductor,Presentat,"Leve, hospitalización hasta 24h",432809.88,4582852.47,2.195174,41.392555
2018S000015,Noche,22,No es causa del peatón,Taxi,Home,26,Passatger,Desconegut,"Leve, asistencia en el lugar",432869.81,4582348.98,2.1959470000000003,41.388026
2018S000016,Noche,0,No es causa del peatón,"CamiĂł rĂ­gid > 3,5 tones",Home,45,Passatger,Desconegut,"Leve, asistencia en el lugar",430180.58,4581946.73,2.163831,41.384174
2018S000017,Matutino,7,No es causa del peatón,Turisme,Dona,37,Conductor,Presentat,"Leve, asistencia en el lugar",431167.04,4583702.85,2.1754279999999997,41.400076
2018S000018,Noche,5,No es causa del peatón,Turisme,Home,35,Conductor,Presentat,"Leve, hospitalización hasta 24h",427500.53,4584915.38,2.131425,41.410674
2018S000019,Matutino,9,No es causa del peatón,Ciclomotor,Home,35,Conductor,Presentat,"Leve, rechaza asistencia",429365.3,4583064.14,2.1539509999999997,41.394166999999996
2018S000019,Matutino,9,No es causa del peatón,Motocicleta,Dona,33,Conductor,Presentat,"Leve, hospitalización hasta 24h",429365.3,4583064.14,2.1539509999999997,41.394166999999996
2018S000021,Matutino,9,No es causa del peatón,Motocicleta,Home,39,Conductor,Presentat,"Leve, hospitalización hasta 24h",427028.24,4584882.89,2.125779,41.410338
2018S000022,Matutino,9,No es causa del peatón,Motocicleta,Home,31,Conductor,Presentat,"Leve, asistencia en el lugar",430901.11,4584569.96,2.172148,41.407862
2018S000023,Matutino,9,No es causa del peatón,Motocicleta,Dona,34,Conductor,Presentat,"Leve, hospitalización hasta 24h",429724.41,4584965.82,2.158025,41.411326
2018S000024,Matutino,9,No es causa del peatón,Motocicleta,Home,19,Conductor,Presentat,"Leve, hospitalización hasta 24h",424565.61,4586045.6,2.096172,41.420583
2018S000025,Matutino,11,No es causa del peatón,Turisme,Home,2,Vianant,Desconegut,"Leve, asistencia en el lugar",429749.82,4586264.53,2.158178,41.423025
2018S000026,Tarde,14,No es causa del peatón,Motocicleta,Home,54,Conductor,Presentat,"Leve, hospitalización hasta 24h",425819.56,4582083.33,2.111662,41.385013
2018S000027,Tarde,15,Desobedecer Semáforo,Turisme,Dona,42,Vianant,Desconegut,"Leve, asistencia en el lugar",428779.12,4581124.02,2.147168,41.376641
2018S000028,Tarde,14,No es causa del peatón,Motocicleta,Home,45,Conductor,Presentat,"Grave, hospitalización superior 24h",433550.46,4588484.21,2.2034119999999997,41.443341
2018S000029,Tarde,17,No es causa del peatón,Motocicleta,Home,31,Conductor,Presentat,"Leve, asistencia en el lugar",431366.44,4586336.94,2.177514,41.423817
2018S000030,Tarde,16,No es causa del peatón,Furgoneta,Home,55,Conductor,Presentat,"Leve, hospitalización hasta 24h",430955.49,4586790.14,2.172545,41.427864
2018S000031,Matutino,13,Cruzar fuera de paso peatonal,AutobĂşs,Dona,49,Passatger,Desconegut,"Leve, hospitalización hasta 24h",427049.01,4581302.86,2.126459,41.378096
2018S000032,Tarde,17,No es causa del peatón,Turisme,Dona,9,Vianant,Desconegut,"Leve, hospitalización hasta 24h",430683.9,4585166.0,2.169481,41.413212
2018S000033,Tarde,18,No es causa del peatón,Motocicleta,Home,47,Conductor,Presentat,"Leve, asistencia en el lugar",429206.33,4584149.85,2.1519220000000003,41.403931
2018S000033,Tarde,18,No es causa del peatón,Motocicleta,Home,Desconegut,Conductor,Altres,"Leve, rechaza asistencia",429206.33,4584149.85,2.1519220000000003,41.403931
2018S000034,Tarde,17,No es causa del peatón,Taxi,Home,27,Conductor,Presentat,"Leve, asistencia en el lugar",431170.35,4581218.47,2.17575,41.3777
