IdExpediente,Turno,Hora,Causa_de_Accidente,Tipo_VehImplicado,Sexo,TipoPersona,Edad,SeriedadAcc,CoordenadaUTM_Y,CoordenadaUTM_X
2012S000766,Tarde,19,No es causa del peatón,Motocicleta,Home,Passatger,12,Herida leve,4586921.38,429377.75
2012S001757,Tarde,17,No es causa del peatón,Ciclomotor,Home,Passatger,23,Herida leve,4582772.90,429052.38
2012S001769,Noche,0,No es causa del peatón,Ciclomotor,Dona,Conductor,29,Herida leve,4583996.88,431101.37
2012S000786,Matutino,10,No es causa del peatón,Motocicleta,Home,Conductor,57,Herida leve,4583083.62,431946.11
2012S000806,Tarde,16,No es causa del peatón,Bicicleta,Dona,Conductor,32,Herida leve,4581173.79,428742.03
2012S000818,Noche,22,No es causa del peatón,Ciclomotor,Home,Conductor,50,Herida leve,4588126.98,432580.86
2012S000827,Matutino,12,No es causa del peatón,Turismo,Home,Vianant,81,Herida leve,4580647.19,427238.20
2012S000831,Tarde,17,No es causa del peatón,Turismo,Home,Conductor,46,Herida leve,4580082.62,428098.64
2012S000832,Tarde,15,No es causa del peatón,Turismo,Dona,Passatger,28,Herida leve,4588493.80,433767.83
2012S000838,Tarde,20,No es causa del peatón,Ciclomotor,Dona,Passatger,17,Herida leve,4584674.15,430643.89
2012S000289,Tarde,17,No es causa del peatón,Motocicleta,Home,Conductor,37,Herida leve,4584660.36,429571.85
2012S000293,Tarde,17,No es causa del peatón,Motocicleta,Home,Conductor,33,Herida leve,4584672.98,431951.64
2012S000308,Tarde,21,No es causa del peatón,Ciclomotor,Dona,Conductor,29,Herida leve,4583050.61,432212.66
2012S001309,Tarde,20,No es causa del peatón,Motocicleta,Home,Conductor,22,Herida leve,4582175.36,427144.34
2012S001309,Tarde,20,No es causa del peatón,Motocicleta,Dona,Passatger,18,Herida leve,4582175.36,427144.34
2012S001314,Matutino,8,No es causa del peatón,Motocicleta,Home,Conductor,51,Herida leve,4583219.68,431229.48
2012S000857,Tarde,20,No es causa del peatón,Autobús,Dona,Passatger,19,Herida leve,4586183.40,429518.96
2012S000871,Tarde,14,Cruzar fuera de paso peatonal,Motocicleta,Dona,Conductor,35,Herida leve,4581213.14,429848.77
2012S000326,Matutino,9,No es causa del peatón,Ciclomotor,Home,Conductor,29,Herida leve,4581588.87,428306.42
2012S000341,Tarde,19,No es causa del peatón,Turismo,Dona,Conductor,33,Herida leve,4577608.48,428534.49
2012S000351,Matutino,9,No es causa del peatón,Motocicleta,Home,Conductor,41,Herida leve,4582427.74,429840.16
2012S000353,Matutino,8,No es causa del peatón,Bicicleta,Home,Conductor,29,Herida leve,4581787.63,432200.21
2012S001357,Matutino,12,No es causa del peatón,Turismo,Dona,Passatger,66,Herida leve,4579227.37,430303.25
2012S000364,Tarde,19,No es causa del peatón,Motocicleta,Dona,Passatger,24,Herida leve,4588928.81,432442.83
2012S000382,Matutino,13,No es causa del peatón,Ciclomotor,Dona,Conductor,25,Herida leve,4583269.19,429924.21
2012S001364,Tarde,15,No es causa del peatón,Motocicleta,Home,Conductor,58,Herida leve,4583269.19,429924.21
2012S001382,Tarde,19,No es causa del peatón,Bicicleta,Home,Conductor,45,Herida leve,4583612.17,430819.38
2012S000911,Tarde,21,Desobedecer Semáforo,Turismo,Home,Vianant,29,Herida leve,4583674.98,430599.35
2012S000914,Matutino,7,No es causa del peatón,Motocicleta,Home,Conductor,27,Herida leve,4584971.32,433081.94
2012S000920,Matutino,11,Otras,Motocicleta,Dona,Conductor,37,Herida leve,4583024.22,429002.17
2012S000410,Matutino,12,No es causa del peatón,Turismo,Dona,Vianant,18,Herida leve,4585821.36,429700.51
2012S001397,Noche,5,No es causa del peatón,Ciclomotor,Dona,Conductor,18,Herida grave,4583421.04,430920.02
2012S001412,Matutino,7,No es causa del peatón,Turismo,Home,Conductor,25,Herida leve,4575950.74,426498.38
2012S000976,Tarde,19,Desobedecer Semáforo,Motocicleta,Home,Conductor,28,Herida leve,4585036.98,431619.34
2012S000976,Tarde,19,Desobedecer Semáforo,Motocicleta,Home,Vianant,88,Muerte,4585036.98,431619.34
2012S000979,Matutino,8,No es causa del peatón,Motocicleta,Dona,Conductor,38,Herida leve,4581982.00,425102.90
2012S001427,Tarde,19,No es causa del peatón,Turismo,Dona,Passatger,43,Herida leve,4581946.87,432487.96
2012S001441,Matutino,10,No es causa del peatón,Motocicleta,Home,Conductor,46,Herida leve,4581906.85,428967.21
2012S001444,Matutino,12,No es causa del peatón,Ciclomotor,Home,Conductor,28,Herida leve,4582440.17,429772.34
2012S000981,Matutino,8,No es causa del peatón,Motocicleta,Home,Conductor,24,Herida leve,4583265.73,433827.82
2012S000999,Tarde,16,No es causa del peatón,Turismo,Dona,Passatger,20,Herida leve,4584681.18,426848.16
2012S001002,Tarde,18,No es causa del peatón,Turismo,Home,Passatger,11,Herida leve,4585600.72,433723.92
2012S001002,Tarde,18,No es causa del peatón,Turismo,Home,Passatger,34,Herida leve,4585600.72,433723.92
2012S000457,Tarde,20,No es causa del peatón,Motocicleta,Home,Conductor,35,Herida leve,4585015.80,430432.70
2012S000462,Noche,23,No es causa del peatón,Turismo,Home,Passatger,31,Herida leve,4589336.10,432380.90
2012S000467,Matutino,11,No es causa del peatón,Motocicleta,Home,Conductor,36,Herida leve,4585054.42,429911.80
2012S001034,Tarde,21,No es causa del peatón,Motocicleta,Home,Conductor,44,Herida leve,4580529.18,429090.57
2012S000005,Matutino,7,No es causa del peatón,Turismo,Home,Conductor,28,Herida leve,4580908.62,428940.68
2012S000005,Matutino,7,No es causa del peatón,Turismo,Home,Conductor,52,Herida leve,4580908.62,428940.68
2012S000489,Matutino,6,No es causa del peatón,Turismo,Home,Passatger,22,Herida grave,4583918.61,426893.77
2012S000495,Tarde,17,No es causa del peatón,Motocicleta,Home,Conductor,30,Herida leve,4582691.89,429201.38
2012S000505,Matutino,11,No es causa del peatón,"Camión > 3,5 Tm",Home,Vianant,80,Herida leve,4587447.34,432627.64
2012S001493,Tarde,18,No es causa del peatón,Taxi,Home,Conductor,58,Herida leve,4584165.40,431431.26
2012S001502,Matutino,8,No es causa del peatón,Motocicleta,Home,Conductor,25,Herida leve,4583920.71,427964.01
2012S001509,Matutino,11,No es causa del peatón,Motocicleta,Home,Conductor,30,Herida leve,4581015.89,427594.03
2012S001058,Matutino,10,No es causa del peatón,Turismo,Home,Passatger,29,Herida leve,4582013.24,425960.22
2012S000044,Matutino,13,No es causa del peatón,Ciclomotor,Dona,Conductor,34,Herida leve,4583464.33,428198.18
2012S000056,Tarde,21,No es causa del peatón,Motocicleta,Home,Conductor,46,Herida leve,4580093.09,428163.20
2012S000514,Tarde,17,No es causa del peatón,Turismo,Home,Conductor,34,Herida leve,4579251.81,428330.43
2012S000519,Tarde,17,No es causa del peatón,Cuadriciclo <75cc,Home,Vianant,42,Herida leve,4582131.20,429315.82
2012S000520,Tarde,18,No es causa del peatón,Furgoneta,Dona,Conductor,43,Herida leve,4587315.77,431790.37
